,continent,independence_year,life_expectancy
111,Africa,1963.0,48.0
112,Asia,1991.0,63.4
113,Asia,1953.0,56.5
114,Oceania,1979.0,59.8
115,North America,1983.0,70.7
116,Asia,1948.0,74.4
117,Asia,1961.0,76.1
118,Asia,1953.0,53.1
119,Asia,1941.0,71.3
120,Africa,1847.0,51.0
121,Africa,1951.0,75.5
122,North America,1979.0,72.3
123,Europe,1806.0,78.8
124,Asia,1948.0,71.8
125,Africa,1966.0,50.8
126,Europe,1991.0,69.1
127,Europe,1867.0,77.1
128,Europe,1991.0,68.4
129,Asia,,81.6
130,Africa,1956.0,69.1
131,Europe,1861.0,78.8
132,Europe,1991.0,64.5
133,Africa,1960.0,55.0
134,Asia,1965.0,62.2
135,North America,1810.0,71.5
136,Oceania,1990.0,65.5
137,Europe,1991.0,73.8
138,Africa,1960.0,46.7
139,Europe,1964.0,77.9
140,Asia,1948.0,54.9
141,Asia,1921.0,67.3
142,Oceania,,75.5
143,Africa,1975.0,37.5
144,Africa,1960.0,50.8
145,North America,,78.0
146,North America,,78.3
147,Africa,1968.0,71.0
148,Africa,1964.0,37.6
149,Asia,1957.0,70.8
150,Africa,,59.5
151,Africa,1990.0,42.5
152,Oceania,,72.8
153,Africa,1960.0,41.3
154,Oceania,,
155,Africa,1960.0,51.6
156,North America,1838.0,68.7
157,Oceania,,
158,Europe,1581.0,78.3
159,Europe,1905.0,78.7
160,Asia,1769.0,57.8
161,Oceania,1968.0,60.8
162,Oceania,1907.0,77.8
163,Asia,1951.0,71.8
164,Asia,1947.0,61.1
165,North America,1903.0,75.5
166,Oceania,,
167,South America,1821.0,70.0
168,Asia,1946.0,67.5
169,Oceania,1994.0,68.6
170,Oceania,1975.0,63.1
171,Europe,1918.0,73.2
172,North America,,75.6
173,Asia,1948.0,70.7
174,Europe,1143.0,75.8
175,South America,1811.0,73.7
176,Asia,,71.4
177,Oceania,,74.8
178,Asia,1971.0,72.4
179,Africa,,72.7
180,Europe,1878.0,69.9
181,Europe,1991.0,67.2
182,Africa,1962.0,39.3
183,Asia,1932.0,67.8
184,Africa,1956.0,56.6
185,Africa,1960.0,62.2
186,Asia,1965.0,80.1
187,Antarctica,,
188,Africa,,76.8
189,Europe,,
190,Oceania,1978.0,71.3
191,Africa,1961.0,45.3
192,North America,1841.0,69.7
193,Europe,885.0,81.1
194,Africa,1960.0,46.2
195,North America,,77.6
196,Africa,1975.0,65.3
197,South America,1975.0,71.4
198,Europe,1993.0,73.7
199,Europe,1991.0,74.9
200,Europe,836.0,79.6
201,Africa,1968.0,40.4
202,Africa,1976.0,70.4
203,Asia,1941.0,68.5
204,North America,,73.3
205,Africa,1960.0,50.5
206,Africa,1960.0,54.7
207,Asia,1350.0,68.6
208,Asia,1991.0,64.1
209,Oceania,,
210,Asia,1991.0,60.9
211,Asia,,46.0
212,Oceania,1970.0,67.9
213,North America,1962.0,68.0
214,Africa,1956.0,73.7
215,Asia,1923.0,71.0
216,Oceania,1978.0,66.3
217,Asia,1945.0,76.4
218,Africa,1961.0,52.3
219,Africa,1962.0,42.9
220,Europe,1991.0,66.0
221,Oceania,,
222,South America,1828.0,75.2
223,North America,1776.0,77.1
224,Asia,1991.0,63.7
225,Europe,1929.0,
226,North America,1979.0,72.3
227,South America,1811.0,73.1
228,North America,,75.4
229,North America,,78.1
230,Asia,1945.0,69.3
231,Oceania,1980.0,60.6
232,Oceania,,
233,Oceania,1962.0,69.2
234,Asia,1918.0,59.8
235,Europe,1918.0,72.4
236,Africa,1910.0,51.1
237,Africa,1964.0,37.2
238,Africa,1980.0,37.8
